project_ptr_id,name,budget,staff_list_plain,aims,description
1068,,,"W Lewandrowski, E Tudor, J Stevens",,
698,<p>Great Victoria Desert Biodiversity Trust</p>,"<p>$7,600</p>","K Zdunic, R Van Dongen, J Chapman, N Burrows",<p>To produce a historical fire mapping dataset covering the area of interest within the Great Victoria Desert and&nbsp;carry out a&nbsp;statistical fire scar analysis report.</p>,"<p>To reconstruct the traditional Aboriginal fire patterns in an area of the Great Victoria Desert (GVD) using earliest available aerial photography, and available evidence from traditional owners. Remote Sensing will be used to map fire from historical satellite imagery to compare the current fire regime with the fire regime evidence in the aerial photography.</p>"
962,"<p>Curtin University, Trend Laboratory</p>","<p>$40,000</p>",W Robbins,"<ul>
<li>To develop dugong-specific genetic markers from museum dugong samples</li>
<li>To test developed primers against other marine mammals and fishes to ensure they do not amplify non-dugong DNA</li>
<li>To test the developed primers on seawater samples taken in the presense of dugong to ensure dugong are detected from traces of sloughed-off tissue in the marine environment</li>
</ul>","<p>The amplification of environmental DNA (eDNA) from seawater samples is a relatively-recent genetic method proving extremely powerful to detect the presence of rare marine animals in the marine environment. Dugong in the Kimberley are one type of animal which could employ this method to identify the presence/absence of individuals, however to date there are no genetic markers (primers) specific to dugong. This honours project aims to develop such markers, testing them against a) other species to ensure they do not amplify them; and b) seawater samples taken in the presense of dugong to ensure dugong are detected. If successful, this provides a means to detect dugong presence, even when animals are not physically sighted.</p>"
554,"<p>University of Adelaide, Uppsalla University, Australian Genomed Research Facility, National Research Council Italy</p>","<p>$605,188</p>",M Byrne,,
409,"<p>The University of Western Australia, Ecosystem Research Group </p>",<p>Nil </p>,"S van Leeuwen, M Langley, N Gibson",,
407,<p>South Coast Natural Resource Management </p>,<p>$100K </p>,"S van Leeuwen, R Coppen, C Bishop, B Bayliss",,
406,<p>Roy Hill (Roy Hill Mine Offset) </p>,<p>$58K </p>,"K Morris, S van Leeuwen, M Dziminski, M Cowan",,
846,<p>The University&nbsp; of Western Australia</p>,<p>Nil</p>,C Ross,"<p>Understanding the responses of corals to past changes in climate can help us to predict their future. However, where available, temperature archives only date back as far as the instrumental record (mid-19<sup>th</sup> century onwards). Coral skeletons can be utilised to create high-resolution reconstructions of past temperature that can track back hundreds, and in some cases, thousands of years (e.g. fossil corals) and can thus help to fill these observational gaps. They are the most commonly used high‐resolution temperature proxy in the tropical oceans, providing paleoclimate reconstructions dating back centuries to millennia. However, physiological differences in skeletal formation modes together with artifacts arising from coral biomineralization (vital effects) can confound the temperature dependence of single element‐to‐calcium ratios. In efforts to reduce vital effects and isolate temperature, new approaches have been developed based on Sr‐U and Li/Mg, which combine Sr/Ca and U/Ca and Li/Ca and Mg/Ca, respectively. While much work has been done to understand the functioning of these temperature proxies in naturally growing corals in the field, less has been done to validate and calibrate them under controlled aquaria conditions. The aims of this project are to:&nbsp;</p>
<ul>
<li>Investigate the response of coral thermometry under constant controlled conditions and seasonally variable temperature and light regimes.</li>
<li>Establish a validation and calibration of coral skeletal trace element temperature proxies for corals grown under controlled aquaria conditions.&nbsp;</li>
<li>Quantify the influence of coral physiological 'vital effects' on the calibration of coral-based trace element temperature proxies.</li>
</ul>
<p>&nbsp;</p>","<p>A long-term 9 month culturing experiment was conducted that simulated both &lsquo;seasonally variable&rsquo; and &lsquo;static&rsquo; temperature and light conditions for the coral species <em>Acropora nasuta</em>&nbsp;and <em>Porites</em> spp, collected from a tropical reef located along Ningaloo Reef, Western Australia (23&deg;S, 113&deg;E). Measurements of Sr/Ca, Sr‐U, and Li/Mg paleothermometry in these two coral species were undertaken at fine-scale resolution using laser ablation techniques. A manuscript documenting the findings is being prepared for publication.</p>"
986,,,,,
405,"<p>Rangelands NRM Western Australia, Pilbara Corridors, Greening Australia</p>",<p>Nil</p>,"S van Leeuwen, K Morris",,
773,"<p>BioPlatforms Australia, Centre for Biodiversity Analysis, Western Australian Museum, Australian Museum, South Australia Museum, Museum of Victoria, University of Adelaide</p>","<p>$1,112,000</p>","M Byrne, K Ottewell",,
718,"<p>Cooperative Research Centre for Honey Bee Products, University of Adelaide, Dijilarup Manuka Pty Ltd, Spring Gully Foods</p>
<p><sup>&nbsp;</sup></p>","<p>$416,100</p>","M Byrne, R Binks",,
353,<p>University of Michigan - Department of Ecology and Evolutionary Biology</p>,<p>Nil</p>,M Cowan,"<p>To test&nbsp; whether habitat specificity of individual species predicts&nbsp; large scale patterns of population structure</p><p><br data-mce-bogus=""1""></p><p>Examination of vertebrate&nbsp; community data with genomic data and habitat information to examine general processes driving speciation across the arid zone.</p>",<p>. One hypothesis - going all the way back to Pianka's 1972 model for speciation in desert lizards - is that habitat specificity of species contributes to population structure and ultimately the probability of becoming isolated and forming a new species.</p>
322,<p>Murdoch University; Perth Zoo; Department of Environment and Heritage (SA); University of Western Australia </p>,<p>Nil </p>,"A Wayne, C Ward, M Maxwell",,
710,"<p>The University of Western Australia, Chevron, Roy Hill, Eubio Consulting</p>","<p>$770,000</p>",M Barrett,"<p>To resolve taxonomic uncertainties, phylogenetic relationships, genetic partitioning and substrate specialisation within species of the hummock grass genus <em>Triodia,</em> and explore the consequences for restoration and rehabilitation.</p>","<p>Hummock grasses (<em>Triodia</em>, colloquially known as 'spinifex') are of the most important plant genera in arid Australia. Spinifex hummock grass communities are widespread throughout arid and semi-arid Australia and dominate in many landscapes. Many spinifexes are ecological keystone species, driving landscape-scale processes such as fire regimes, nutrient cycling, and providing critical habitat for a wide range of fauna including many threatened species. Consequently they are key restoration and rehabilitation targets throughout arid and semi-arid Australia, however establishment of <em>Triodia</em> is often difficult and patchy. Despite its importance, the taxonomy of <em>Triodia</em> has been poorly understood, and relatively little study of genetic diversity has been carried out, especially at the intraspecific level. Ill-defined species names prevent accurate substrate matching and selection of appropriate genetic resources for a particular area. This project aims to clarify species boundaries, understand genetic relationships and biogeographic structure between species, and evaluate genetic partitioning within species, and then evaluate substrate specificity and adaptation to improve seed sourcing and habitat matching guidelines for restoration.</p>
<p>The project has greatly improved our understanding of genetic and taxonomic diversity in the genus, with 16 new species described or in press, and at least 30 more species descriptions in preparation. The final tally of Triodia species is expected to be at least 120 species, making it Australia's largest grass genus. A revision of the <em>Triodia basedowii</em> complex has been published (Anderson et al 2017), and an interactive key (SPIKEY, Barrett et al 2017) to 29 taxa of Pilbara <em>Trioidia</em> is now available free.</p>
<p>A particular focus of the project is mapping ploidy (whole-genome duplication resulting in multiple copies of each chromosome, e.g. 2n=36 diploids vs 2n=72 tetraploids). A key discovery of this project has been the prevalence of substantially segregated ploidy races within many species of <em>Triodia,</em> an aspect never before studied in the genus. Since ploidy types strongly segregate in the wild, it is likely that they will do so in mixed rehabilitated sites, with a potential lowering of reproductive ability of both types in the artificial population. We are continuing to map and assess the potential for ploidy mixing with current seed collection strategies, and evaluate strategies to reduce the risks to long-term sustainability of rehabilitated <em>Triodia</em> populations.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>"
408,"<p>University of Melbourne, Quantitative and Applied Ecology Group </p>",<p>Nil </p>,S van Leeuwen,,
984,<p>OpenDataKit</p>,<p>In-kind staff resources</p>,,"<p>To feed DBCA needs into the ODK development roadmap, and to contribute features needed by DBCA to the ODK ecosystem.</p>",<p>A multi-year exchange of knowledge and requirements between DBCA and the ODK community and core development team.</p>
982,,,,,
333,<p>Rio Tinto</p>,<p>Nil</p>,S van Leeuwen,,
1001,<p>Exmouth District</p>,"<p>$50,000</p>","H Raudino, J Tyne, K Waples","<p>The aims of this project will be to:</p>
<ol>
<li>Conduct a literature&nbsp;review of all studies on whale sharks post 2012 that link to the management framework to assess which management strategies have been assessed and to identify ongoing information gaps.</li>
<li>Use data collected through the tourism activities to assess the effectiveness of the current management program in minimising impacts to whale sharks from tourism encounters in NMP. This project will build upon Lester et al (2019) that used data from the 2011/12 seasons, by analysing data over a minimum of 5 years between 2012 and 2019 to determine if behavioural changes have occurred in the interactions between whale sharks and commercial tourism activities.</li>
</ol>",
309,<p>Future Farm Industries CRC</p>,<p>$257K (2011-2014)</p>,"M Byrne, B MacDonald",,
308,<p>Fortescue Metals Group</p>,"<p>$700,000 (2012-2016)</p>","D Algar, S van Leeuwen",,
1033,,,"K Ottewell, T Goad, M Dziminski",,
927,,,"A Pinder, S Easton, G Barrett, A Barrett, K Quinlan, M Brotherson, R Glowicki",,
569,"<p>ARC Linkage, The University of Western Australia, Botanic Garden and Parks Authority</p>","<p>$520,000</p>","D Coates, M Byrne, M Millar, S Krauss",,
1002,<p>Conceptual population model and knowledge gaps for little penguin colonies in Western Australia</p>,"<p>$18,000</p>","T Holmes, I Leal, S Wilson","<ul>
<li>Develop and document a conceptual model for understanding the key stresses and processes acting on the little penguin population in Western Australia.</li>
<li>Review the current state of knowledge with regards to each of the elements included in the conceptual population model, including the metropolitan meta-population centred around Penguin and Garden Island's.</li>
</ul>","<p>This project will develop a conceptual population model for little penguins that can be applied to colonies or regions in Western Australia. In addition, it seeks to review existing information to identify key knowledge gaps that help direct future research effort and drive management decisions.</p>"
564,<p>The University of Western Australia</p>,<p>Nil</p>,P Gioia,,
563,"<p>CSIRO, Australian SuperSite Network, Terrestrial Ecosystem Research Network, National Research Infrastructure for Australia</p>",<p>Nil</p>,C Gosper,,
1020,<p>Genomics for Australian Plants</p>,<p>-</p>,B Anderson,"<p>- Resolve generic boundaries and subgeneric groups of phylogenetic significance</p>
<p>- Ultimately, provide a framework for species diversity and relationships</p>",
975,"<p>Hannah Cliff and Gareth Catt, Indigenous Desert Alliance</p>",<p>Nil</p>,"V Densmore, J Chapman",,
766,<p>Metals X Limited</p>,"<p>$127,128</p>",J Stevens,"<p>The principle aims of the research program are to:</p>
<ul>
<li>Undertake detailed soil characterization of contaminated sites and mine waste rock and tailings;</li>
<li>Identify and assess physiochemical properties of substrates that may impede seed germination and plant growth in rehabilitation sites;</li>
<li>Trial physical and chemical treatments to ameliorate negative soil properties;</li>
<li>Assess soil seed bank in contaminated sites and topsoil stockpiles;</li>
<li>Undertake detailed study of seed dormancy and germination requirements of dominant species;</li>
<li>Develop revegetation methods and technologies suitable for the various mine closure domains.</li>
</ul>","<p>Metals X NCO Pty Ltd operates the Nifty copper mine in the eastern Pilbara region approximately 350 km east of Port Hedland, Western Australia. The &nbsp;company is required to demonstrate that rehabilitated landforms are safe, stable and non-polluting over several years&nbsp;and also undertake a&nbsp;continuous program of environmental investigation and research to determine the effectiveness of environmental management for approved developments. Since 2011 Kings Park Science has been undertaking research of disturbed sites at Nifty Copper Operations. After discussion, a research program (subject to ongoing review) was proposed to develop a cost effective and ecologically sustainable rehabilitation program as part of Birla Nifty&rsquo;s final closure plan.</p>"
562,"<p>Australian Transect Network, CSIRO, Terrestrial Ecosystem Research Network,&nbsp;Adelaide University, AusPlots</p>","<p>$12,000</p>","S van Leeuwen, N Gibson, M Byrne",,
764,"<p>The University of Western Australia, Mt Annan Botanic Garden (NSW)</p>",<p>Nil</p>,"E Bunn, B Funnekotter",,
561,<p>Charles Sturt University</p>,"<p>$78,000</p>
<p>&nbsp;</p>",J Dunlop,,
556,"<p>Australian Research Council, University of Western Sydney, Murdoch University</p>","<p>$281,505</p>","M Byrne, R Mazanec",,
713,<p>Office of Environment and Heritage (NSW)</p>,"<p>$150,000</p>",J Tonti-Filippini,,
650,<p>Hanson Construction Materials</p>,"<p>$25,000 pa</p>","J Stevens, W Lewandrowski","<ol>
<li>To understand the underlying mechanisms of&nbsp;seedling survival in rehabilitated substrates including plant physiological and provenance interactions;</li>
<li>To understand the seedling recruitment and establishment niches in rehabilitated substrates including abiotic (e.g. temperature, light, hydrology), and biotic (e.g. soil biology, seedling interaction) factors;</li>
<li>To enhancing the use of seed and seedlings in rehabilitation programs through laboratory/glasshouse manipulations to improve subsequent field performance.</li>
</ol>","<p>Banksia woodlands are a defining plant community of the Swan Coastal Plain Bioregion, however only 35% remain within 50 km of the Perth CBD. Remnants are under continuous threat from both natural and anthropogenic disturbance and conservation actions are critical to ensure resilience. Restoration opportunities exist and may assist in the conservation of biodiversity on the Swan Coastal Plain. Since 1995 Kings Park Science has been in collaboration with Hanson Construction Materials with an ambitious and innovative project to return former mining sites to a species composition more closely resembling original <em>Banksia </em>woodland.</p>
<p>Since developing the fundamental protocols for successful restoration of Banksia woodlands, the recent activities of the project have focussed on understanding more subtle factors that dictate restoration success. In 2017-18 three lines of investigation were undertaken to better define the establishment niche of perennial shrub and tree species in restoration environments: (1) deciphering facilitative competitive interactions of annual disturbance species on seedling recruitment; (2) understanding wind dynamics in rehabilitation landscapes to define evaporative drivers and water stress and; (3) investigating seed delivery systems such as activated carbon pellets for native seeds to increase herbicide strategies for weed control in restoration programs.</p>"
535,"<p>Department of the Environment and Energy - Threatened Species Commissioner, Rangelands NRM Western Austrlia</p>","<p>$250,000</p>","M Johnston, N Hamilton, M Onus, D Algar","<p>Baiting for feral cats is a broad-scale technique that has potential to reduce feral cat population over larger areas. Three broad-scale baits have been developed for the control of feral cats; <em>Eradicat&reg;</em> that is registered for use in south-western Western Australia; <em>Curiosity&reg;</em> and <em>Hisstory&reg; </em>(both yet to be registered). Baits for feral cats must be laid on the surface and this presents a potential hazard for non-target wildlife species. The <em>Hisstory</em> bait offers a degree of protection to some wildlife species by exploiting differences in feeding behaviour between feral cats and non-target species by presenting the toxicant, 1080, in an encapsulated pellet.</p>
<p>&nbsp;</p>
<p>The primary objective of the study was to understand the hazard that the <em>Hisstory</em> bait presents to northern quolls. A secondary objective was to demonstrate that feral cats would consume the bait.</p>
<p>&nbsp;</p>","<p>Three hundred <em>Hisstory</em> baits were hand-laid in a 6 km<sup>2</sup> area of the King Leopold Ranges Conservation Park located in the west of the Kimberley region on 10 September 2017. Monitoring of the northern quoll uptake of <em>Hisstory</em> baits was conducted using VHF telemetry collars attached to 20 northern quolls prior to baiting. Of the eight northern quolls alive at the time of baiting, seven were confirmed as alive post-baiting and one had died of unknown reasons. In conjunction with the results achieved in earlier studies with captive northern quolls, and despite the small sample size, this study demonstrates the <em>Hisstory</em> bait for feral cats is unlikely to present a significant hazard to free-ranging northern quolls.</p>
<p>&nbsp;</p>
<p>Several problems were encountered during the planning and preparation phase of the project, resulting in the secondary objective - demonstrating field efficacy of the <em>Hisstory</em> baits on feral cats - not being achieved:</p>
<ol>
<li>The trial site had to be moved at a late stage due to logistical problems;</li>
<li>Delays on provisions of necessary permits affected the timing of baiting. This meant baiting aircraft were unavailable so the size of the trial area was reduced from 100 km<sup>2</sup> to 6 km<sup>2</sup> and refocused on northern quoll only.</li>
</ol>
<p>&nbsp;</p>"
403,"<p>Office of the Environmental Protection Authority, Terrestrial Ecosystems Branch </p>",<p>Nil </p>,"S van Leeuwen, A Pinder",,
402,<p>Main Roads Western Australia </p>,<p>$25K </p>,"K Morris, J Dunlop, K Rayner",,
276,"<p>ARC Linkage, The University of Western Australia </p>","<p>$436K over three years, $190K cash and in kind from partner organisations </p>",S Wilson,,
1051,"<p>CSIRO Environment, Floreat W.A.&nbsp;&nbsp;</p>",<p>Nil</p>,J Rutherford,"<p>Review and trial different geophysical methods to map three dimensional landscapes.</p>
<p>Assess connections between older, buried hydrological features and contemporary springs, streams, and wetlands.</p>
<p>Develop criteria to classify ecosystem resilience and threats and hydrological management solutions.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>","<p>Geophysical and geochemical data are collected across three different locations to research links between the contemporary and paleo landscapes. The project was designed in collaboration with CSIRO geochemists (Senior Principal Research Scientist; Dr Grant Douglas) and geophysicists (Senior Research Scientist; Dr Aaron Davis).</p>
<p>&nbsp;</p>
<p>&nbsp;</p>"
275,"<p>Atlas of Living Australia, Centre for Biological Information Technology, The University of Queensland </p>",<p>$57K p.a. for four years </p>,Dr K Thiele (Eubio Consulting),,
550,"<p>Australian Institute of Marine Science, CSIRO</p>","<p>$1,000,000</p>","S Whiting, S Fossette-Halot, T Tucker",,
348,"<p>University of Western Australia, Australian Institute of Marine Science, Pendoley Environmental Pty Ltd, AATAMS, Charles Darwin University</p>","<p>$188,795</p>",S Whiting,,
347,<p>The University of Western Australia </p>,<p>Nil </p>,B Shearer,,
961,<p>BHP Iron Ore Pty Ltd</p>,"<p>$190,000</p>","K Ottewell, R Sun, D Prada, S McArthur","<p>Phase I: Validation and refinement of ghost bat faecal DNA monitoring (lab and desktop analysis)</p>
<ul>
<li>Assess and refine optimal sampling protocols for capture-mark-recapture (CMR) analysis based on faecal DNA using a desktop analysis of previous monitoring data</li>
<li>Identify sex-linked markers suitable for inclusion in faecal DNA SNP array and validate performance of markers on samples of known sex</li>
<li>Validate final faecal DNA SNP array by re-running previously analysed samples to assess array performance and consistency amongst datasets</li>
</ul>",
577,<p>James Cook University</p>,<p>Nil</p>,S Wilson,"<p>1. To describe global patterns in coral and fish communities with respect to different environmental conditions and human activities</p>
<p>2. To&nbsp;assess the influence of managing human activities on these patterns</p>","<p>Coral reefs are an important asset within tropical marine parks and reserves managed by the Department of Biodiversity, Conservation and Attractions. Globally, many of the world&rsquo;s coral reefs are under stress from climate change and anthropogenic pressures. In addition, multi-scale socioeconomic drivers can profoundly influence the condition of coral reef ecosystems, although these are rarely considered in reef governance. This ongoing project uses data from more than 2500 reef sites worldwide to explore patterns in reef communities with respect to different environmental pressures and anthropogenic activities. Of particular interest is how management actions and policies can mitigate the effect of humans on the environment, whilst maintaining key ecosystem services.&nbsp;</p>"
546,<p>Wumanbul Gaambera Aboriginal Corporation</p>,<p>Nil</p>,L Gibson,,
545,"<p>Royal Botanic Gardens - Kew, University of Portsmouth (UK)</p>",<p>Nil</p>,J Wege,,
544,<p>Quadrant Energy</p>,"<p>$42,000</p>",G Shedrawi,,
401,<p>Fortescue Metals Group</p>,<p>Nil</p>,"S van Leeuwen, B Bayliss",,
400,"<p>Fortescue Metals Group, Millennium Minerals, Roy Hill</p>","<p>$2,005,000</p>","M Dziminski, F Carpenter",,
729,<p>BirdLife Western Australia</p>,<p>Nil</p>,"A Burbidge, A Pinder, S Comer, A Clarke, A Barrett, C Taylor, K Williams",,
721,<p>CSIRO</p>,"<p>$8,000</p>",M Moustaka,,
511,<p>Western Australian Marine Science Institute</p>,"<p>$30,000</p>",A Halford,,
719,"<p>Net Conservation Benefits, CSIRO</p>","<p>$913,000</p>",M Byrne,,
396,<p>CSIRO Ecosystem Sciences </p>,<p>Nil </p>,S van Leeuwen,,
392,"<p>Atlas Iron, Main Roads Western Australia</p>","<p>$125,000</p>","D Pearson, L Gibson, M Cowan",,
360,<p>Western Australian Museum</p>,<p>Nil</p>,J Tonti-Filippini,,
1030,<p>Astron Environmental Services</p>,"<p>$27,204</p>","K Ottewell, R Shaw",,
