document_ptr_id,scientific_outputs,knowledge_transfer,data_location,hardcopy_location,backup_location,goal,reason
1494,"<p>An updated version of the key, WATTLE2 ver. 2.2, has now been deployed on the web and is available at Lucid Central website. This version includes all described taxa of Australian <em>Acacia</em> (including those in press as of June 2014). Also, each taxon now contains hyperlinks to the most current description, nomenclature, distribution and images</p>","<p>An electronic identification key called WATTLE was published (on CD) in 2001 by Maslin and others; it enabled quick and accurate naming of taxa of Australian <em>Acacia</em>. In the past decade about 50 new taxa of <em>Acacia</em> have been formally published and WATTLE has now become outdated and its effectiveness reduced. This enhanced version of the key (called WATTLE2) is more complete, has greater functionality and will be easier to maintain into the future.</p>",<p>Electronic data stored on: Lucid Central website</p>,,,completed,
1487,"<p class=""western"" lang=""en-AU""><span lang=""en-US"">Robinson, R.M. 2003. Short-term impact of thinning and fertilizer application on Armillaria root disease in regrowth karri (</span><span lang=""en-US""><em>Eucalyptus diversicolor</em></span><span lang=""en-US""> F. Muell.) in Western Australia. Forest Ecology and Management </span><span lang=""en-US""><strong>176</strong></span><span lang=""en-US"">: 417-426.</span></p>
<p class=""western"" lang=""en-AU"">&nbsp;</p>
<p class=""western"" lang=""en-AU""><span lang=""en-US"">Robinson, R.M. and R.H. Smith. 2001. Fumigation of karri regrowth stumps with metham-sodium to control </span><span lang=""en-US""><em>Armillaria luteobubalina</em></span><span lang=""en-US"">. Australian Forestry </span><span lang=""en-US""><strong>64</strong></span><span lang=""en-US"">: 209-215.</span></p>
<p class=""western"" lang=""en-AU"">&nbsp;</p>
<p class=""western"" lang=""en-AU"">Robinson, R.M., Williams, M. and Smith, R.H. 2003. Incidence of Armillaria root disease in karri regrowth forest is underestimated by surveys of above ground symptoms. Australian Forestry <strong>66</strong>: 273-278.</p>
<p class=""western"" lang=""en-AU"">&nbsp;</p>
<p class=""western"" lang=""en-AU"">Robinson, R.M. 2005. Volume loss in thinned karri regrowth infected by Armillaria luteobubalina in Western Australia. In Mańka, M and Łokomy, P. (Eds). Proceedings of the 11th IUFRO International Conference on Root and Butt Rots of Forest Trees. Poznań and Białowieża, Poland, August 16-22, 2004. The August Cieszkowski Agricultural University, Poznań, Poland: 296-303</p>","<p class=""western"" lang=""en-AU"">Robinson, R.M. and Rayner, M. 1998. <em>Armillaria luteobubalina</em> in regrowth karri forests. A report on the state of knowledge of Armillaria root disease in karri regrowth forests in the southwest of Western Australia and recommendations for future research. Internal Report. CALM, Science and Information Division, Como, WA. 22p.</p>
<p class=""western"" lang=""en-AU"">&nbsp;</p>
<p class=""western"" lang=""en-AU"">Robinson, R.M. 2007. <em>Armillaria luteobubalina</em> in regrowth karri stands in Western Australia. Borers and Rots conference. Institute of Foresters of Australia.</p>
<p class=""western"" lang=""en-AU"">&nbsp;</p>
<p class=""western"" lang=""en-AU"">Parks and Wildlife 2014. Silviculture guideline for karri forest. Forest and Ecosystem Management Division Guideline No. 2.</p>
<p class=""western"" lang=""en-AU"">&nbsp;</p>
<p class=""western"" lang=""en-AU"">Sub Committee on National Forest Health Annual Reports on the status of pests, diseases and quarantine. Prepared for the Plant Health Committee.</p>
<p class=""western"" lang=""en-AU"">&nbsp;</p>
<p class=""western"" lang=""en-AU"">Field days and briefings for FEM personnel and the Independent Silvicultural Review Panel (2011)</p>","<p class=""western"" lang=""en-AU"">Electronic data stored on: Manjimup server 532/Shared T:/Rich/ ARMILLARIA&nbsp;</p>","<p>Hard copy records held at Richard Robinson office files, Manjimup Research Centre</p>",,completed,
1285,<p>PROGRAM CLOSED</p>,,,,,terminated,
1981,"<p>Gioia, P. &amp; Hopper, S.D. (2017) A new phytogeographic map for the Southwest Australian Floristic Region after an exceptional decade of collection and discovery. <em>Botanical Journal of the Linnean Society</em>, <strong>184</strong>(1): 1-15.</p>",,<p>https://naturemap.dpaw.wa.gov.au/resources/gh/index.html</p>,,,completed,<p>Project is complete</p>
1286,,,,,,terminated,
1772,,,,,,suspended,<p>No Activity in 2015/16 but project still active</p>
2132,,,,,,terminated,<p>Duplicate of&nbsp;SP 2016-068</p>
1742,,,,,,completed,
1939,,,,,,completed,
1500,"<p>Crane CE, Shearer BL (2014). <a href=""http://dx.doi.org/10.1007/s13313-013-0260-9"">Comparison of phosphite application methods for control of Phytophthora cinnamomi in threatened communities</a>. <em>Australasian Plant Pathology</em> <strong>43</strong>, pp. 143&ndash;149</p>
<p>Shearer BL, Crane CE, Cochrane JA, Dunne CP (2013). <a href=""http://dx.doi.org/10.1007/s13313-013-0215-1"">Variation in susceptibility of threatened flora to Phytophthora cinnamomi</a>. <em>Australasian Plant Pathology</em> <strong>42</strong>, pp. 491&ndash;502</p>
<p>Shearer BL, Crane CE (2012). <a href=""http://dx.doi.org/10.1007/s13313-012-0151-5"">Phytophthora cinnamomi visible necrotic lesion-colonisation relationships in native flora</a>. <em>Australasian Plant Pathology</em> <strong>41</strong>, pp. 633&ndash;644</p>
<p>Shearer BL, Crane CE (2012). <a href=""http://dx.doi.org/10.1007/s13313-011-0088-0"">Variation within the genus Lambertia in efficacy of low-volume aerial phosphite spray for control of Phytophthora cinnamomi</a>. <em>Australasian Plant Pathology</em> <strong>41</strong>, pp. 47&ndash;57</p>
<p>Shearer BL, Crane CE (2011). <a href=""http://dx.doi.org/10.1007/s13313-010-0026-6"">Habitat suitability of soils from a topographic gradient across the Fitzgerald River National Park for invasion by Phytophthora cinnamomi</a>. <em>Australasian Plant Pathology</em> <strong>40</strong>, pp. 168&ndash;179</p>
<p>Shearer BL, Crane CE, Cochrane JA (2010). <a href=""http://dx.doi.org/10.1071/BT10154"">Variation in susceptibility to Phytophthora cinnamomi infection within the genus Lambertia</a>. <em>Australian Journal of Botany</em> <strong>58</strong>, pp. 575&ndash;585</p>
<p>Shearer BL, Crane CE, Barrett S, Cochrane A (2007). <a href=""http://dx.doi.org/10.1071/AP07074"">Assessment of threatened flora susceptibility to Phytophthora cinnamomi by analysis of disease progress curves in shadehouse and natural environments</a>. <em>Australasian Plant Pathology</em> <strong>36</strong>, pp. 609&ndash;620</p>
<p>Shearer BL, Crane CE, Barrett S, Cochrane A (2007). Phytophthora cinnamomi invasion, a major threatening process to conservation of flora diversity in the south-west botanical province of Western Australia. <em>Australian Journal of Botany</em> <strong>55</strong>, pp. 225&ndash;238</p>
<p>Shearer B, Crane C, Cochrane A (2005). A thief of time: Phytophthora cinnamomi and threatened flora. <em>Australasian Plant Conservation</em> <strong>13(4)</strong>, pp. 14&ndash;15</p>","<p>Identification of threatened flora at risk of infection by <em>P. cinnamomi</em> has enabled recovery actions within regions to be prioritised for high risk species, and assisted in the strategic targeting of areas for phosphite application and quarantine procedures.</p>",<p>Electronic data stored on: Computer with Colin Crane FEMD</p>,,,completed,
1954,,,,,,terminated,<p>K. Thiele has left the department. Project will not be continuing.</p>
1793,,,,,,force_completed,
