id,effective_from,effective_to,creator_id,modifier_id,created,modified,name,slug,published,position,program_leader_id,cost_center,finance_admin_id,data_custodian_id,focus,introduction,image,division_id
9,2014-06-05 18:28:10.451000+08:00,,1,100934,2014-06-05 18:28:10.451000+08:00,2023-06-14 11:49:06.712550+08:00,Marine Science,marine,True,60,156,531,100446,156,<p>Marine biodiversity assessment; marine ecosystem research; marine monitoring and evaluation; threatened marine fauna</p>,"<p>The broad goal of the Marine Science Program is to ensure the department's marine biodiversity conservation and management programs are based on best practice science. Specifically, the program promotes and undertakes marine research and monitoring to improve the scientific basis for the conservation and management of Western Australia's State-wide system of marine protected areas, threatened marine fauna and marine biodiversity generally. The program also coordinates and manages external marine research programs, such as the current investigation into the bio-physical, social and cultural values of the Kimberley that is undertaken as part of the Western Australian Marine Science Institution (WAMSI). The research and monitoring programs undertaken by the Marine Science Program are based around the research and monitoring strategies identified in protected area management plans and threatened species recovery and management plans, ensuring that all activities are linked to departmental priorities and programs.</p>",programs/marine/IMG_3795_resize.jpg,1
20,2018-05-28 12:48:37.084523+08:00,,4,1,2018-05-28 12:48:37.084547+08:00,2022-05-20 12:00:58.057380+08:00,Rivers and Estuaries Science,red,True,120,100458,529,100446,100458,<p>rivers; estuaries; Swan Canning; informing management</p>,"<p>The Rivers and Estuaries Science Program undertakes and supports research across a wide range of disciplines to address knowledge gaps and inform management of the Swan Canning Riverpark. Research is aligned with the Swan Canning Research Strategy and WAMSI estuarine research priorities. Strong collaborative linkages exist with universities, research centres and other government departments. Scientific advice and support is provided to the Rivers and Estuaries Branch in relation to waterway condition, management, and incident response including algal blooms, fish-kills, sewage overflows and dolphin deaths.</p>",programs/red/estuary_2.jpg,1
2,2014-06-05 18:28:10.326000+08:00,,1,1,2014-06-05 18:28:10.326000+08:00,2022-05-20 12:00:59.664614+08:00,Biodiversity and Climate Change Unit,climate,False,10,8,529,19,8,,"<p>Climate is a fundamental influence on where plants and animals flourish, what communities and ecosystems develop in a location and what habitat is available there. Climate affects plants and animals directly by determining the temperature regimes and water availability in an area. Climate indirectly affects plants and animals by impacting on many of the most significant forces they experience, including fire, diseases, invasive species and salinity. Climate change has the potential to significantly impact on Western Australia's natural biological diversity. Climate research through the Indian Ocean Climate Initiative program has demonstrated that climate conditions in south-west Western Australia have changed significantly during the past 40 years; in particular, the climate is becoming warmer and drier. Climate projections indicate that Western Australia faces ongoing climate changes. Managing the potential impacts of climate change on Western Australia's biodiversity requires sound knowledge of the vulnerability of species and communities to direct and indirect impacts. The Biodiversity and Climate Change Unit focuses on research to develop an understanding of these impacts, especially the impacts on the potentially 'at risk' species, communities and ecosystems of Western Australia. This understanding provides the basis on which management responses to climate change are formulated and undertaken. The Biodiversity and Climate Change Unit includes research scientists from all Science Division programs. It includes strengths in ecology, modelling, surveys, phytogeography, genetics, and fire science.</p>",,1
24,2022-08-11 12:03:31.160615+08:00,,1,1,2022-08-11 12:03:31.160637+08:00,2022-08-11 12:03:31.180770+08:00,Rivers and Estuaries Branch,REB,True,230,100886,,,,,,,4
38,2022-08-11 12:47:36.132895+08:00,,1,1,2022-08-11 12:47:36.132923+08:00,2022-08-11 12:47:36.157540+08:00,Life Sciences,LS,True,710,100886,,,,,,,3
52,2022-08-11 12:55:49.641449+08:00,,1,1,2022-08-11 12:55:49.641476+08:00,2022-08-11 12:55:49.875746+08:00,Tourism and Concessions Branch,TCB,True,420,100886,,,,,,,5
13,2014-06-06 10:24:30.131000+08:00,,1,1,2014-06-06 10:24:30.131000+08:00,2022-05-20 12:00:59.879495+08:00,Wetlands Conservation,wetlands-conservation,False,55,22,530,19,22,"<p>Wetland ecology wetland macroinvertebrate inventory, freshwater aquatic flora, hydrology, hydrological processes, distribution patterns in aquatic biodiversity, wetland monitoring</p>","<p>The Wetlands Conservation Program undertakes research in a range of disciplines to support the management of wetlands in the State&rsquo;s conservation estate. Key areas of research are biological survey, ecological monitoring, wetland ecology and hydrology. Surveys of aquatic flora and fauna, at scales ranging from individual wetlands to regions, provide knowledge of patterns in the distribution of aquatic biodiversity required for conservation reserve design, assessment of species and communities conservation status and prioritisation of on-ground management. Targeted physical and biological monitoring programs, provide managers with information on effectiveness of management in protecting wetlands and rivers (e.g. management of the south-west forests) and effects of threatening processes, especially altered hydrology and water quality (such as that resulting from drainage, land-use changes, climate change and water resource development). Research into key hydrological processes are critical for designing effective management and mitigation strategies.</p>",programs/wetlands-conservation/MDS_6823.jpg,1
17,2018-05-23 07:50:29.720880+08:00,,4,100944,2018-05-23 07:50:29.720903+08:00,2022-10-04 16:05:10.935090+08:00,Kings Park Science,bgpa,True,100,100462,527,,100462,<p>restoration ecology and ecophysiology; seed science; conservation genetics; conservation biotechnology; ecosystem ecology; fire ecology; systematics.</p>,"<p>Kings Park Science undertakes research in native plant biology, underpinning the conservation and ecological restoration of Western Australia's unique biodiversity and biodiversity generally. Research focuses on the key areas of restoration ecology and ecophysiology, seed science, conservation genetics, conservation biotechnology, ecosystem ecology, fire ecology and systematics. Research is prioritised to enhance practical outcomes in conservation and management, and sustainable development of the State&rsquo;s unique natural resources. The Program delivers science capacity underpinning the State&rsquo;s botanic garden and the lands managed by the Botanic Gardens and Parks Authority, and the horticultural development of the Western Australian flora. The Program has a long history of successful postgraduate student supervision in collaboration with Western Australian universities, and contributes to undergraduate teaching, predominantly in conservation biology and restoration ecology.</p>",programs/bgpa/Pollinationstudy.jpg,1
21,2018-07-19 13:53:00.957300+08:00,,4,1,2018-07-19 13:53:00.957328+08:00,2022-05-20 12:00:57.509935+08:00,Fire Science,fire,True,65,100457,525,100446,,<p>fire; ecosystems; fire ecology; decision support tools; adaptive management</p>,"<p>The Fire Science Program seeks to inform fire management and biodiversity conservation on lands managed by the department, including state forests, national parks and other conservation reserves. The strategic goal of the program is to ensure that the best available scientific information is used for integrated fire management to protect communities and natural values. Key themes for the program include developing and validating decision support tools for fire management, and understanding the effects of fire regimes on species, ecosystems and landscapes and how these interact with threatening processes including weeds, introduced predators and climate change. Monitoring and learning from the outcomes of prescribed burns and bushfire incidents is also an important activity for the program. Strong collaborative linkages exist with universities, cooperative research centres, CSIRO, the Bureau of Meteorology, other government agencies and private sector research providers.</p>",programs/fire/Edgingwesternboundarycropped.jpg,1
22,2021-08-02 11:04:56.644417+08:00,,1,100934,2021-08-02 11:04:56.644441+08:00,2023-09-26 09:26:37.328831+08:00,Biodiversity Information Office,bio,True,10,100911,529,100446,100886,<p>Biodiversity data; data sharing; data discovery; cross-sector collaboration; evidence-based decision-making.</p>,"<p>The Biodiversity Information Office (BIO) has been established as custodian and manager of the Biodiversity Data Repository for the biodiversity data collected and used by the Western Australian community. BIO will mobilise biodiversity data from all environment-related sectors, including government, industry, and community organisations, promoting a culture of collaboration and seamless data sharing across government, industry, research and the community. Greater access to biodiversity data will increase knowledge of our biodiversity and support informed decision making. BIO enhances the capability of the WA public sector to deliver services to a diverse range of stakeholders, leading to the delivery of sound policy outcomes and evidence-based decision-making. BIO is a core component of the WA digital transformation initiative, delivering data services for digital transformation of environmental assessment and approvals system (Environment Online) that is led by the Department of Water and Environmental Regulation (DWER). BIO will provide seamless integration with Environment Online to ensure access to the best available information to inform decision making. BIO is part of the partnership between WA and the Commonwealth Department of Climate Change, Energy, the Environment and Water (DCCEEW) to deliver the Digital Environmental Assessment Program as an integrated digital environmental assessment system and biodiversity data repository.</p>",programs/bio/kokerbin.jpeg,1
25,2022-08-11 12:16:00.872875+08:00,,1,1,2022-08-11 12:16:00.872903+08:00,2022-08-11 12:19:54.636559+08:00,Wildlife Protection Branch,WPB,True,220,100886,,,,,,,4
39,2022-08-11 12:47:51.850836+08:00,,1,1,2022-08-11 12:47:51.850862+08:00,2022-08-11 12:47:51.873089+08:00,Community Engagement,CE,True,720,100886,,,,,,,3
53,2022-08-11 12:56:08.012873+08:00,,1,1,2022-08-11 12:56:08.012898+08:00,2022-08-11 12:56:08.036057+08:00,Visitor Communications and Marketing Branch,VCMB,True,430,100886,,,,,,,5
10,2014-06-05 18:28:10.475000+08:00,,1,1,2014-06-05 18:28:10.475000+08:00,2022-05-20 12:01:00.143638+08:00,Perth Observatory,observatory,False,80,38,533,20,38,,"<p>Perth Observatory, established in 1896, is Australia's oldest continuously operating observatory. Perth Observatory is the only significant professional observatory between South Africa and the eastern states of Australia and is sought for collaborations with other astronomy institutions because of its capabilities and its particularly isolated location on the globe. The Observatory provides a public education and community engagement program through its night star viewing and day time tours. </p>",,1
26,2022-08-11 12:16:57.370046+08:00,,1,1,2022-08-11 12:16:57.370081+08:00,2022-08-11 12:19:54.231961+08:00,Forest Management Branch,FMB,True,210,100886,,,,,,,4
40,2022-08-11 12:48:49.544601+08:00,,1,1,2022-08-11 12:48:49.544627+08:00,2022-08-11 12:48:49.564316+08:00,Business and Finance,BF,True,600,100886,,,,,,,2
27,2022-08-11 12:18:49.585366+08:00,,1,1,2022-08-11 12:18:49.585388+08:00,2022-08-11 12:19:49.540620+08:00,Ecosystem Health Branch,EHB,True,200,100886,,,,,,,4
41,2022-08-11 12:49:13.373283+08:00,,1,1,2022-08-11 12:49:13.373310+08:00,2022-08-11 12:49:13.394010+08:00,Business and Community Engagement,BCE,True,610,100886,,,,,,,2
6,2014-06-05 18:28:10.393000+08:00,,1,100934,2014-06-05 18:28:10.393000+08:00,2023-09-26 13:24:52.863338+08:00,Plant Science and Herbarium,flora,True,40,47,536,100446,78,<p>Species approach; plant ecology; biology; genetics; threatening processes; collections; systematics; taxonomy</p>,"<p>Applied flora conservation research seeks to understand the factors and processes that are critical for the conservation of Western Australia's native plant diversity. Major objectives include ensuring the persistence of rare and threatened species, understanding key threats such as <em>Phytophthora</em> dieback and weeds, and improving the understanding of genetic and ecological factors that are vital for the long-term viability of plant species. Strong collaborative linkages exist with universities, cooperative research centres, CSIRO, other research&nbsp;providers such as the National Environmental Science Program and the corporate sector.</p>
<p>The program includes the Western Australian Herbarium that houses the State collection of scientific specimens of plants, algae and fungi. Information in the collection underpins the conservation of Western Australian flora. The Herbarium is responsible for: documenting and understanding the diversity of Western Australia's plants, algae and fungi; maintaining a research and archive collection of specimens of all species in these groups from throughout their range in Western Australia; helping the community, industry and researchers understand and identify plants, algae and fungi; contributing to, supporting and servicing the research, conservation and decision-making activities of&nbsp; government; contributing to taxonomic research by the Australian and the international scientific community; providing authoritative information to government, industry and the community via the <em>FloraBase</em> website and the Herbarium's information management systems.</p>",programs/flora/Plant_Science_and_Herbarium_Banner.jpg,1
7,2014-06-05 18:28:10.412000+08:00,,1,100944,2014-06-05 18:28:10.412000+08:00,2022-10-04 13:14:14.617900+08:00,Ecosystem Science,landscape,True,50,22,532,18,22,<p>Ecosystem and landscape ecology; broadscale threats; biological survey; ecological monitoring; wetlands</p>,"<p>Applied research undertaken by the Ecosystem Science Program seeks to understand the environmental, ecological and biogeographical processes that determine the conservation values, health and productivity of the lands and inland waters managed by the department. The program's research spans two broad themes: biogeography, and how ecosystems function and respond to threatening processes and management.</p>
<p>Biological surveys provide information on the composition of communities and distribution of the State's flora and fauna at scales relevant to management questions. Survey data provide the foundation for a range of management activities, including conservation estate planning, assessing the conservation status of species and communities and predicting the impacts of other land uses and threats.</p>
<p>The program investigates how ecosystems function and respond to water and land resource management practices and to broadscale threats including salinity, altered hydrology, climate change and habitat fragmentation. Projects include investigations into the nature of threats and monitoring associated ecological responses and effectiveness of mitigation strategies. The program also investigates genetic diversity, evolutionary history and ecological plasticity of plant populations to guide seed collection for restoration.</p>
<p>The program collaborates with other parts of the department, museums and herbaria, universities, cooperative research centres, natural resource management groups, CSIRO and other research providers. Partnerships also exist with traditional owners, resource companies and the environmental consulting industry.</p>",programs/landscape/20200602142309_1.jpeg,1
28,2022-08-11 12:22:02.643859+08:00,,1,1,2022-08-11 12:22:02.643892+08:00,2022-08-11 12:22:02.675917+08:00,Fire Management Services Branch,FMSB,True,300,100886,,,,,,,6
42,2022-08-11 12:49:28.372873+08:00,,1,1,2022-08-11 12:49:28.372899+08:00,2022-08-11 12:49:28.389039+08:00,Horticulture and Living Collections,HLC,True,620,100886,,,,,,,2
29,2022-08-11 12:22:26.778947+08:00,,1,1,2022-08-11 12:22:26.778972+08:00,2022-08-11 12:22:26.815680+08:00,Region Goldfields,Goldfields,True,310,100886,,,,,,,6
43,2022-08-11 12:49:44.065439+08:00,,1,1,2022-08-11 12:49:44.065465+08:00,2022-08-11 12:49:44.086180+08:00,Environment and Infrastructure,EI,True,630,100886,,,,,,,2
30,2022-08-11 12:22:45.596820+08:00,,1,1,2022-08-11 12:22:45.596846+08:00,2022-08-11 12:22:45.617942+08:00,Region Kimberley,Kimberley,True,320,100886,,,,,,,6
44,2022-08-11 12:51:17.326313+08:00,,1,1,2022-08-11 12:51:17.326339+08:00,2022-08-11 12:51:17.345284+08:00,Business Services,BS,True,500,100886,,,,,,,7
19,2018-05-23 07:53:34.149616+08:00,,4,100934,2018-05-23 07:53:34.149639+08:00,2023-10-12 13:22:57.035615+08:00,Remote Sensing and Spatial Analysis,remotesensing,True,130,100448,528,100446,100448,"<p>Remote Sensing, Spatial Analysis, MODIS, Landsat, species habitat modelling</p>","<p>The Remote Sensing and Spatial Analysis Program seeks to integrate the science and application of remote sensing and spatial analysis into departmental programs. For a department that manages large tracts of terrestrial and marine conservation parks and reserves, the efficient use and analysis of spatial data is crucial for understanding natural processes and informing management actions.</p>
<p>In recent times the availability of spatial data has increased dramatically. With this increase in data, the Program is continuing to develop sophisticated statistical analysis, interpretative and automation techniques to synthesise data into a form where they directly assist departmental staff.</p>
<p>The program undertakes fire mapping over extensive areas of the State. Utilising time series satellite imagery and ground information,&nbsp; monitoring programs have been established in the forest, wetland, marine, coastal, rangeland and tropical savanna environments. Species and habitat modelling and spatially explicit assessments, such as risk assessments, allow managers to identify areas of concern and efficiently utilise resources. Program scientists collaborate with other parts of the department, universities, CSIRO, natural resource management groups, resource companies and other research providers.</p>",programs/remotesensing/RSSAGroup.png,1
31,2022-08-11 12:23:10.623340+08:00,,1,1,2022-08-11 12:23:10.623365+08:00,2022-08-11 12:23:10.649072+08:00,Region Midwest,Midwest,True,330,100886,,,,,,,6
45,2022-08-11 12:51:37.910895+08:00,,1,1,2022-08-11 12:51:37.910923+08:00,2022-08-11 12:51:37.926236+08:00,"Environment, Heritage and Parks Services",EHPS,True,510,100886,,,,,,,7
11,2014-06-05 18:28:10.502000+08:00,,1,100944,2014-06-05 18:28:10.502000+08:00,2022-10-05 15:47:54.686493+08:00,Ecoinformatics,apps,True,160,15,529,100446,15,<p>ecoinformatics; data; biodiversity; knowledge management&nbsp;portals; information life cycle</p>,"<p>The Ecoinformatics Unit manages the digital biodiversity assets of Biodiversity and Conservation Science. It maintains the online portal <em>NatureMap</em> that publishes maps, lists and data sets of Western Australian species. The unit collaborates on projects involving complex information management and analysis, such as identifying broad-scale patterns of plant biodiversity. The Ecoinformatics Unit collaborates with external organisations in co-developing ecoinformatics tools (e.g. the NSW Office of Environment and Heritage) and data hosting (e.g. republishing fauna collections from the Western Australian Museum through <em>NatureMap</em>).</p>",programs/apps/ecoinformatics_3.jpg,1
32,2022-08-11 12:23:38.561054+08:00,,1,1,2022-08-11 12:23:38.561081+08:00,2022-08-11 12:23:38.582820+08:00,Region Pilbara,Pilbara,True,340,100886,,,,,,,6
46,2022-08-11 12:52:10.817054+08:00,,1,1,2022-08-11 12:52:10.817081+08:00,2022-08-11 12:52:10.849742+08:00,Infrastructure,I,True,520,100886,,,,,,,7
15,2016-08-09 11:45:30.827988+08:00,,4,100934,2016-08-09 11:45:30.828016+08:00,2023-10-26 15:56:02.931413+08:00,Species and Communities,species-and-communities,True,150,100749,540,100446,,<p>Threatened and Priority Fauna; Threatened and Priority Flora; Threatened and Priority Ecological Communities; Threatened Species Scientific Committee; Threatened Ecological Communities Scientific Committee; Recovery plans and recovery teams; Wetland conservation policy; Off-reserve conservation; Land for wildlife; Nature conservation covenants; Roadside Conservation Committee; Animal Ethics Committee</p>,"<p class=""x_MsoNormal"">Species and Communities Program supports the delivery of the <em>Conserving Habitats, Species and Ecological Communities Service</em> through the provision of biodiversity knowledge with consistent and reliable products and information and advice regarding: legislation and policy development and interpretation; planning and setting priorities; implementing biodiversity conservation programs; maintenance of data and other information and community engagement. The program supports the department's operations in the areas of conservation of threatened fauna, flora and ecological communities conservation; fauna and flora management; wetlands and off-reserve conservation. It administers the departmental Animal Ethics Committee and provides support to the Threatened Species Scientific Committee and the Threatened Ecological Communities Scientific Committee.</p>",programs/species-and-communities/SCP20aKoondoola13Sept2014JP25BEST.JPG,1
33,2022-08-11 12:24:22.361716+08:00,,1,1,2022-08-11 12:24:22.361739+08:00,2022-08-11 12:24:22.378329+08:00,Region South West,SouthWest,True,360,100886,,,,,,,6
47,2022-08-11 12:52:20.640042+08:00,,1,1,2022-08-11 12:52:20.640069+08:00,2022-08-11 12:52:20.656335+08:00,Contracts,C,True,530,100886,,,,,,,7
34,2022-08-11 12:43:46.466918+08:00,,1,1,2022-08-11 12:43:46.466952+08:00,2022-08-11 12:43:46.490792+08:00,Region Swan,Swan,True,370,100886,,,,,,,6
48,2022-08-11 12:52:36.740819+08:00,,1,1,2022-08-11 12:52:36.740853+08:00,2022-08-11 12:52:36.762073+08:00,Marketing and Events,ME,True,540,100886,,,,,,,7
35,2022-08-11 12:44:04.691511+08:00,,1,1,2022-08-11 12:44:04.691546+08:00,2022-08-11 12:44:04.710874+08:00,Region Warren,Warren,True,380,100886,,,,,,,6
49,2022-08-11 12:52:50.740578+08:00,,1,1,2022-08-11 12:52:50.740611+08:00,2022-08-11 12:52:50.772371+08:00,Visitor Services,VS,True,550,100886,,,,,,,7
36,2022-08-11 12:44:24.190031+08:00,,1,1,2022-08-11 12:44:24.190062+08:00,2022-08-11 12:44:24.209522+08:00,Region Wheatbelt,Wheatbelt,True,390,100886,,,,,,,6
50,2022-08-11 12:54:58.850611+08:00,,1,1,2022-08-11 12:54:58.850637+08:00,2022-08-11 12:54:58.870851+08:00,Visitor Services Branch,VSB,True,400,100886,,,,,,,5
