id,effective_from,effective_to,creator_id,modifier_id,created,modified,polymorphic_ctype_id,type,status,year,number,position,title,image,tagline,comments,start_date,end_date,program_id,output_program_id,project_owner_id,data_custodian_id,site_custodian_id,team_list_plain,area_list_dpaw_region,area_list_dpaw_district,area_list_ibra_imcra_region,area_list_nrm_region,supervising_scientist_list_plain,research_function_id,keywords
248,2014-06-05 18:29:32.915000+08:00,,100000,1,2014-06-05 18:29:32.915000+08:00,2018-10-15 13:52:02.941346+08:00,26,3,completed,2012,214,1000,<p>Asset management study on coastal biological communities of Ningaloo Marine Park</p>,,,<p>KF advises completed - PG</p>,2011-01-01,2012-12-31,9,1,89,,,"K Friedman, K Bancroft",,,,,"K Friedman, K Bancroft",7,
246,2014-06-05 18:29:32.875000+08:00,,100000,1,2014-06-05 18:29:32.875000+08:00,2018-10-15 13:52:02.993489+08:00,26,3,completed,2012,211,1000,"<p>Ancient, terrestrial islands in a semi-arid landscape: patterns of genetic diversity in regional endemics of the Yilgarn Banded Iron Formations</p>",,,,2010-01-01,2014-12-31,6,1,6,6,6,"M Byrne, D Coates",,,,,"M Byrne, D Coates",2,
190,2014-06-05 18:29:30.415000+08:00,,100000,1,2014-06-05 18:29:30.415000+08:00,2018-10-15 13:52:03.513539+08:00,25,0,completed,2012,28,1000,<p>Perth Urban Bushland Fungi (PUBF) Project</p>,,,<p>MB request to close - PG</p>,,,6,1,112,,,"N Bougher, N Bougher",Swan,,,,"N Bougher, N Bougher",4,
174,2014-06-05 18:29:28.558000+08:00,,100000,1,2014-06-05 18:29:28.558000+08:00,2018-10-15 13:52:03.985567+08:00,25,0,completed,2012,12,1000,<p>Strategic plan for the development and implementation of the Western Australian Marine Monitoring Program (WAMMP)</p>,,<p>Keeping tabs on WA's marine biodiversity</p>,,2010-07-01,2014-06-30,9,1,89,,,"K Friedman, K Friedman, C Simpson",All Regions,All DPaW Districts,"All IBRA Regions, All IMCRA Regions",All Regions,"K Friedman, K Friedman",7,"<p>strategic, plan, document, WAMMP, marine, monitoring</p>"
349,2014-06-05 18:29:37.140000+08:00,,100000,1,2014-06-05 18:29:37.140000+08:00,2018-10-15 13:52:00.121663+08:00,30,2,active,2012,482,1000,<p>Assessing the vulnerability of honey possums to climate change and habitat disturbances in south-western Australia</p>,projects/2012-482/current_projected_v2.jpg,,,,,3,1,99,,,M Cowan,,,,,M Cowan,,
807,2019-01-15 09:08:36.991522+08:00,,100525,100525,2019-01-15 09:08:36.991552+08:00,2019-07-08 10:39:56.572972+08:00,26,3,completed,2019,22,1000,"<p>Improving the outcomes of seed-based restoration in cold and hot deserts: an investigation into seed dormancy, germination, and seed enhancement</p>",projects/2019-22/20180612111333.jpg,<p>Enhancing seed germination and establishment for ecological restoration</p>,,2015-03-31,2019-05-24,17,1,100525,100525,,"D Merritt, T Erickson",Pilbara,,,,"D Merritt, T Erickson",29,"<p>Seed dormancy and germination, seed enhancement, seedling establishment, restoration</p>"
937,2021-05-03 16:26:00.546761+08:00,,100448,100934,2021-05-03 16:26:00.546789+08:00,2023-10-12 16:03:14.702904+08:00,25,0,updating,2021,11,1000,"<p class=""xmsonormal"">Novel methods combining ground-based monitoring and remotely sensed observations to inform management and measurement of ecosystem condition in the rangelands</p>",projects/2021-11/projectimageJPG.jpeg,,,2020-06-08,2025-07-08,19,1,100448,100448,,"J Ruscalleda Alvarez, K Zdunic",Midwest,Geraldton,Geraldton Sandplains,Northern Agricultural,K Zdunic,31,
989,2022-06-07 11:23:14.868022+08:00,,100448,100448,2022-06-07 11:23:14.868054+08:00,2023-05-31 09:01:23.185753+08:00,30,2,completed,2022,15,1000,<p>Wildlife corridor mapping</p>,projects/2022-15/WildlifeCorridors.jpeg,<p>Wildlife corridor mapping to support landscape biodiversity and conservation across tenures.</p>,"<p>The aim of the wildlife corridor mapping is to support landscape biodiversity conservation and enhance and maintain ecological processes and climate adaptation broadly into the future, rather than focus on fauna or threatened species. The developed methodology may be of use for other locations or local government areas, or DBCA may choose to refine the approach based on the experience and results from this project. Should the approach and resulting actions be effective, this will support landscape scale connectivity, species movement and climate change adaptation for the conservation areas managed by DBCA in and around the Shire of Mundaring.</p>",2022-02-02,2022-06-30,19,4,100448,100448,,K Zdunic,Swan,Perth Hills,Jarrah Forest,Swan,,31,"<p>Wildlife, habitat, corridors, spatial analysis, urban monitor, fragmentation, across tenure, Mundaring</p>"
446,2014-06-27 13:12:02.085000+08:00,,142,1,2014-06-27 13:12:02.085000+08:00,2018-10-15 13:51:57.333517+08:00,26,3,completed,2014,13,1000,<p>Optimal release locations and timing for rehabilitated sea turtles using a decision support system</p>,projects/2014-13/greenhatchling.jpg,,<p><strong>Status</strong> Completed</p>,2014-03-01,,9,1,142,142,142,S Whiting,All Regions,All DPaW Districts,,,S Whiting,7,"<p>turtle, rehabilitation, release, decision support system, management</p>"
561,2016-08-24 13:24:02.524156+08:00,,80,100934,2016-08-24 13:24:02.524184+08:00,2022-10-19 11:01:58.411615+08:00,30,2,completed,2016,76,1000,"<p>Introduced predator interactions with an endangered native predator, the Pilbara northern quoll</p>",,,"<p>FM: Taken from budget (no tables allowed there):</p>
<p>&nbsp;</p>
<p>Parks &amp; Wildlife contribution (totalling $78,000) will come from industry offset funding allocated by Atlas Iron, designated for the specific purpose of offsetting the residual impacts on the Northern Quoll, and researching the management of feral cats in the Pilbara.</p>
<table>
<tbody>
<tr>
<td width=""163"">
<p>&nbsp;</p>
</td>
<td width=""78"">
<p><strong>Year 1</strong></p>
</td>
<td width=""78"">
<p><strong>Year 2</strong></p>
</td>
<td width=""78"">
<p><strong>Year 3</strong></p>
</td>
</tr>
<tr>
<td width=""163"">
<p><strong>Consolidated Funds </strong>(Department of Parks and Wildlife)*</p>
</td>
<td width=""78"">
<p>$26,000</p>
</td>
<td width=""78"">
<p>$26,000</p>
</td>
<td width=""78"">
<p>$26,000</p>
</td>
</tr>
<tr>
<td width=""163"">
<p><strong>External Funds: </strong>Seeking financial support from industry for equipment and travel</p>
</td>
<td width=""78"">
<p>$50,000</p>
</td>
<td width=""78"">
<p>&nbsp;</p>
</td>
<td width=""78"">
<p>&nbsp;</p>
</td>
</tr>
<tr>
<td width=""163"">
<p>Charles Sturt Uni leverage funds</p>
</td>
<td width=""78"">
<p>$20,000</p>
</td>
<td width=""78"">
<p>&nbsp;</p>
</td>
<td width=""78"">
<p>&nbsp;</p>
</td>
</tr>
<tr>
<td width=""163"">
<p>PhD stipend and tuition fees (based on successful application)</p>
</td>
<td width=""78"">
<p>$50,288</p>
</td>
<td width=""78"">
<p>$50,288</p>
</td>
<td width=""78"">
<p>$50,288</p>
</td>
</tr>
<tr>
<td width=""163"">
<p>Charles Sturt Uni operating funds for PhD (based on successful application)</p>
</td>
<td width=""78"">
<p>$5,500</p>
</td>
<td width=""78"">
<p>$5,500</p>
</td>
<td width=""78"">
<p>$5,500</p>
</td>
</tr>
<tr>
<td width=""163"">
<p><strong>Total</strong></p>
</td>
<td width=""78"">
<p>$151,788</p>
<p>&nbsp;</p>
</td>
<td width=""78"">
<p>$81,788</p>
<p>&nbsp;</p>
</td>
<td width=""78"">
<p>$81,788</p>
<p>&nbsp;</p>
</td>
</tr>
</tbody>
</table>",2017-01-10,2022-12-10,5,1,80,80,,J Dunlop,Pilbara,,Pilbara,Rangelands,J Dunlop,1,
191,2014-06-05 18:29:30.487000+08:00,,100000,100934,2014-06-05 18:29:30.487000+08:00,2023-10-31 14:25:20.306870+08:00,25,0,updating,2012,29,1000,<p>Long term response of jarrah forest understorey and tree health to fire regimes</p>,projects/2012-29/DVgrassyjarrah2cropped.jpeg,<p>Prescribed burning! Mild and moderate effects?</p>,<p>SPP to be submitted</p>,1986-11-12,2029-12-12,21,6,100377,100377,113,"V Densmore, S Samson","Swan, South West, Warren",,Jarrah Forest,South West,V Densmore,6,"<p>fire regime, prescribed burning, season, intensity, frequency, fire interval, grazing vegetation,&nbsp;plant response</p>"
682,2018-07-10 17:05:57.322360+08:00,,100516,100580,2018-07-10 17:05:57.322402+08:00,2023-06-26 15:39:13.619022+08:00,29,0,updating,2018,48,1000,<p>Conservation biotechnology</p>,projects/2018-48/DRFspTissuecultureBGPA.jpg,"<p>Acacia&nbsp;subflexuosa ssp capillata, a threatened species, shown flowering in tissue culture at Kings Park and Botanic Garden</p>","<p>Ex situ conservation collections in tissue culture and cryostorage</p>
<p>Research into <em>in vitro</em> and cryogenic science streams is essential to progress and enhance the <em>ex situ</em> conservation and germplasm storage options for threatened plant species, where other forms of germplasm storage are not possible.</p>",2018-07-01,,17,1,100580,100580,,"E Bunn, B Funnekotter",All Regions,All DPaW Districts,"All IBRA Regions, All IMCRA Regions",All Regions,E Bunn,28,"<p>Threatened species, ex situ conservation, tissue culture, cryopreservation, cryostorage, biotechnology</p>"
563,2016-08-25 10:11:30.676003+08:00,,10,47,2016-08-25 10:11:30.676031+08:00,2022-06-15 14:57:28.518010+08:00,30,2,active,2016,78,1000,<p>Great Western Woodlands SuperSite</p>,,,,2014-01-01,,6,1,47,47,,C Gosper,Goldfields,Goldfields,Coolgardie,Rangelands,C Gosper,3,
562,2016-08-25 10:02:43.678948+08:00,,10,1,2016-08-25 10:02:43.678977+08:00,2018-10-15 13:51:53.954934+08:00,30,2,completed,2016,77,1000,<p>South-Western Australian Transitional Transect</p>,,,,2014-01-01,,3,4,10,10,,"M Byrne, N Gibson, S van Leeuwen","Goldfields, Wheatbelt, South Coast, Warren","Goldfields, Central Wheatbelt, Great Southern, Albany, Donnelly","Murchison, Mallee, Esperance Plains","Rangelands, Avon, South Coast",S van Leeuwen,3,
346,2014-06-05 18:29:37.038000+08:00,2023-05-19 12:10:51.500323+08:00,100000,100934,2014-06-05 18:29:37.038000+08:00,2023-05-19 12:10:51.503893+08:00,30,2,completed,2012,479,1000,<p>Variable star observations </p>,,,,,,10,1,38,,,,,,,,,,
179,2014-06-05 18:29:28.805000+08:00,,100000,1,2014-06-05 18:29:28.805000+08:00,2018-10-15 13:52:03.821487+08:00,25,0,completed,2012,17,1000,<p>WAMMP Sub-project 5: Community participation and liaison</p>,,,<p>KF advises folded into SPP 2012-008 - PG</p>,,,9,1,89,,,"K Friedman, K Friedman, K Waples",All Regions,,,,"K Friedman, K Friedman",7,
193,2014-06-05 18:29:30.548000+08:00,,100000,1,2014-06-05 18:29:30.548000+08:00,2018-10-15 13:52:03.437512+08:00,25,0,closure requested,2012,31,1000,<p>Biosystematics of fungi for conservation and restoration of Western Australia's biota</p>,,,"<p>Old Title - Improving the comprehensiveness, accuracy and availability of taxonomic data about Western Australia's fungi in DEC biological datasets and biodiversity collections New Title - Biosystematics of fungi for conservation and restoration of Western Australia's biota</p>",,,6,1,112,,,N Bougher,All Regions,All DPaW Districts,"All IBRA Regions, All IMCRA Regions",All Regions,,4,
940,2021-05-17 10:23:17.453166+08:00,,100641,100641,2021-05-17 10:23:17.453195+08:00,2023-06-26 15:26:18.784291+08:00,26,3,completed,2021,14,1000,<p>Evaluating satellite remote sensing of wetland water levels</p>,projects/2021-14/ESAS1.jpeg,<p>ESA Sentinel 1</p>,,2021-04-18,2022-12-31,7,1,100641,100641,,G McGrath,South Coast,"Central Wheatbelt, Swan Coastal, Perth Hills, Esperance, Great Southern, Albany, Blackwood, Donnelly, Frankland","Avon Wheatbelt, Swan Coastal Plain, Esperance Plains, Warren, WA South Coast","Wheatbelt, Avon, Swan, South West, South Coast",G McGrath,10,<p>Remote Sensing</p>
432,2014-06-05 18:29:41.727000+08:00,,100000,1,2014-06-05 18:29:41.727000+08:00,2018-10-15 13:51:57.737489+08:00,26,3,completed,2013,73,1000,<p>The value of remnant and revegetated woodland on Rottnest Island to the red-capped robin (<em>Petroica goodenovii</em>) and golden whistler (<em>Pachycephala pectoralis</em>)</p>,,,"<p>Honours project at ECU, partially funded by the Rottnest Island Authority. This study examined habitat use in two woodland passerines (red-capped robin and golden whistler) on Rottnest Island, to determine the value of remnant and revegetated sites and hence inform future woodland restoration efforts for birds.These two bird species declined in abundance on Rottnest following fragmentation of woodland habitat. Red-capped robin abundance was greater in areas with taller trees and lower values for shrub layer cover, while golden whistler abundance was related positively to patch cover (i.e. a landscape variable). Total bird abundance was greater in areas with more shallow litter depths and lower patch cover. Robins spent equal amounts of time in open, edge and wooded areas, whereas whistlers spent about 75% of their time in woodland areas. Robins occur in patches with older trees, fewer shrubs, and with open/edge areas in which to forage. Golden whistlers prefer more extensive, continuous woodlands. Current revegetation could be subjected to silviultural treatment to provide a mix of such areas in order to optimise habitat for both species. Any future revegation aiming to provide whistler habitat should focus on extending the area of current patches, whereas robins will benefit from patchy plantings of taller trees.</p>",2012-02-01,2012-12-30,5,1,29,,,A Burbidge,,,,,A Burbidge,3,
164,2014-06-05 18:29:23.855000+08:00,,100000,1,2014-06-05 18:29:23.855000+08:00,2021-06-18 12:16:16.188431+08:00,25,0,completed,2012,2,1000,<p>Climate-resilient vegetation of multi-use landscapes: exploiting genetic variability in widespread species</p>,projects/2012-2/050_1.JPG,,,,,7,1,6,,,"M Byrne, B MacDonald, R Binks","Goldfields, Wheatbelt, Warren",,"Avon Wheatbelt, Coolgardie, Mallee, Warren","Wheatbelt, Rangelands, South Coast",M Byrne,3,
778,2018-12-19 08:05:56.803003+08:00,,100462,100934,2018-12-19 08:05:56.803033+08:00,2023-06-13 12:10:35.854805+08:00,26,3,updating,2018,143,1000,"<p>Implications for wind management in restoration ecology, linking ecosystem aerodynamics to physiological drivers in arid and semi-arid systems</p>",projects/2018-143/STP2018143IMG13701Copy.JPG,<p>Understanding how wind influences seedling establishment in restored systems</p>,,2015-02-02,2019-02-04,17,4,100462,100462,,J Stevens,Swan,Swan Coastal,Swan Coastal Plain,Swan,J Stevens,27,"<p>seedling establishment, Banksia woodlands, plant ecophysiology</p>"
904,2020-06-16 11:56:00.147211+08:00,,145,145,2020-06-16 11:56:00.147241+08:00,2021-06-11 07:44:14.138786+08:00,26,3,completed,2020,47,1000,"<p>Trophic resource and habitat use by a mesopredatory fish across a seasonally-dynamic, tropical seascape</p>",projects/2020-47/Cheilioinermisinitial3AlgaeandCoralhabitat.jpeg,,"<p>Macroalgal meadows cover substantial areas of our tropical coastlines and are a vital component of tropical marine ecosystems. These macroalgae areas provide habitat for a diverse array of fish including medium sized predatory species. These meso-predators have an important role in transferring energy within the food chain and potentially among habitats. Predation on fish, particularly the juveniles, may have also important consequences for adult populations. The cigar wrasse, <em>Cheilio</em> <em>inermis</em>, is a common mesopredator in Ningaloo macroalgal meadows and may influence ecosystem processes via their trophic interactions with a range of other mobile species. This study will investigate the distribution, foraging behaviour and diet of <em>C. inermis </em>using a combination of field studies and laboratory assessments. &nbsp;The study will identify the trophic role of <em>C. inermis</em> at Ningaloo, and if this differs among life history stages and habitats.</p>
<p>Surveys assessing the abundance, habitat associations and behaviour of <em>Cheilio</em> <em>inermis </em>at Ningaloo have been completed. Samples have been collected, gut contents analysed and stable isotopes of fish tissues processed. Data is being analysed and an honours thesis is being written by Ashleigh Buckley.</p>",2019-07-01,2021-06-30,9,1,145,145,,"S Wilson, A Nicotra",Pilbara,Exmouth,Ningaloo,,"S Wilson, A Nicotra",7,
160,2014-06-05 18:29:23.602000+08:00,,100000,1,2014-06-05 18:29:23.602000+08:00,2018-10-15 13:52:04.477544+08:00,29,1,completed,2011,119,1000,<p>Understanding the early offshore migration patterns of turtle hatchlings and the effects of anthropogenic light</p>,projects/2011-119/greenhatchling.jpg,,"<p><strong>Status</strong> pilot study, external project, closed.</p>",,,9,1,142,,,S Whiting,Kimberley,,,,S Whiting,7,"<p>turtle, migration, hatchling, light, anthropogenic, pressure</p>"
996,2022-06-15 15:14:49.412363+08:00,,47,47,2022-06-15 15:14:49.412397+08:00,2022-06-15 15:21:38.696725+08:00,30,2,active,2022,22,1000,<p>Great Western Woodlands carbon methodology</p>,projects/2022-22/DSCF0077.jpeg,,,2022-05-01,2023-12-31,6,4,47,47,,"C Gosper, K Zdunic","Wheatbelt, South Coast","Central Wheatbelt, Esperance","Avon Wheatbelt, Coolgardie, Mallee",Rangelands,,23,"<p>Biomass, carbon, eucalypt woodlands, fire management</p>"
974,2021-12-07 16:50:51.385721+08:00,,100457,100934,2021-12-07 16:50:51.385748+08:00,2022-10-20 13:05:42.951976+08:00,30,2,active,2021,48,1000,<p>Karri forest fuel dynamics</p>,projects/2021-48/NeilFHS.jpeg,,,2021-12-01,2022-06-30,21,4,100457,30,,"V Densmore, A Wills, S Samson, J Hollis",,,,,,6,
177,2014-06-05 18:29:28.690000+08:00,,100000,1,2014-06-05 18:29:28.690000+08:00,2018-10-15 13:52:03.869492+08:00,25,0,completed,2012,15,1000,<p>WAMMP Sub-project 3: 'Fit to park'</p>,,,<p>KF advises folded into SPP 2012-008 - PG</p>,,,9,1,89,,,"K Friedman, A Kendrick, S Wilson, K Bancroft, T Holmes, M Rule, G Shedrawi",All Regions,,,,K Friedman,7,
32,2014-06-05 18:28:17.987000+08:00,,100000,1,2014-06-05 18:28:17.987000+08:00,2018-10-15 13:52:08.765471+08:00,25,0,completed,1998,14,1000,<p>Supernova search </p>,,,<p>MB requested closure - PG </p>,,,10,1,38,,,"A Verveer, A Verveer",,,,,A Verveer,,
220,2014-06-05 18:29:31.942000+08:00,,100000,1,2014-06-05 18:29:31.942000+08:00,2018-10-15 13:52:09.921462+08:00,25,0,completed,1993,7,1000,<p>Systematics and conservation status of Western Australian taxa of the genus Tetratheca Tremandraceae project postponed</p>,,,,1993-01-01,,6,1,44,,,B Maslin,,,,,B Maslin,4,
214,2014-06-05 18:29:31.735000+08:00,,100000,1,2014-06-05 18:29:31.735000+08:00,2018-10-15 13:52:10.073503+08:00,25,0,completed,1980,4,1000,"<p>The biological survey of the eastern goldfields of Western Australia. Part 8, Kurnalpi- Kalgoorlie study area </p>",,,,1980-01-01,1983-08-01,3,1,10,,,S van Leeuwen,,,,,S van Leeuwen,,
837,2019-06-25 16:09:25.845696+08:00,,100457,100934,2019-06-25 16:09:25.845725+08:00,2023-06-13 12:10:35.326270+08:00,26,3,updating,2019,52,1000,<p>Shifting soil fungal communities in response to fire and weed management in urban banksia woodlands</p>,projects/2019-52/2019052edit.jpeg,,,2019-06-30,2023-12-31,21,1,100457,100457,,"B Miller, K Ruthrof",Swan,Swan Coastal,Swan Coastal Plain,Swan,"B Miller, K Ruthrof",8,
836,2019-06-21 13:28:09.137795+08:00,,98,100934,2019-06-21 13:28:09.137827+08:00,2023-06-13 12:10:35.383798+08:00,26,3,updating,2019,51,1000,<p>Modelling species interactions and other environmental factors in the Upper Warren</p>,projects/2019-51/WilliamGearyOpenJarrah.jpeg,<p>Integrating and managing multiple threats for more effective and efficient ecosystem management</p>,,2019-04-01,2022-06-30,7,,24,98,,A Wayne,Warren,Donnelly,,,A Wayne,,"<p>Ecosystem management, threat interactions, fire, logging, critical weight range mammals</p>"
212,2014-06-05 18:29:31.673000+08:00,,100000,1,2014-06-05 18:29:31.673000+08:00,2018-10-15 13:52:10.113469+08:00,25,0,completed,1980,2,1000,"<p>The biological survey of the eastern goldfields of Western Australia. Part 2, Widgiemooltha-Zanthus study area </p>",,,,1980-08-01,,3,1,10,,,S van Leeuwen,,,,,S van Leeuwen,,
838,2019-06-28 14:55:34.398389+08:00,,17,22,2019-06-28 14:55:34.398418+08:00,2023-06-23 14:08:59.005218+08:00,30,2,completed,2019,53,1000,<p>Using tree rings to reconstruct long term rainfall patterns in south-west Western Australia</p>,,,,2017-07-01,2020-06-30,7,4,17,17,,L Mccaw,,,,,L Mccaw,3,
360,2014-06-05 18:29:37.474000+08:00,,100000,100934,2014-06-05 18:29:37.474000+08:00,2023-09-29 16:14:40.413178+08:00,30,2,completed,2012,493,1000,<p><em>NatureMap</em>: data sharing and joint custodianship</p>,projects/2012-493/naturemap.jpg,<p>Mapping Western Australia's biodiversity</p>,,,,11,1,4,,,J Tonti-Filippini,,,,,J Tonti-Filippini,,
337,2014-06-05 18:29:36.714000+08:00,,100000,1,2014-06-05 18:29:36.714000+08:00,2018-10-15 13:52:00.437574+08:00,30,2,completed,2012,469,1000,<p>Astronomy education </p>,,,,2013-07-03,,10,1,38,,,A Verveer,,,,,A Verveer,,
178,2014-06-05 18:29:28.744000+08:00,,100000,1,2014-06-05 18:29:28.744000+08:00,2018-10-15 13:52:03.845493+08:00,25,0,completed,2012,16,1000,<p>WAMMP Sub-project 4: MPRA/DEC audit support and management effectiveness reporting</p>,,,<p>KF advises folded into SPP 2012-008 - PG</p>,,,9,1,89,,,"K Friedman, K Bancroft, C Simpson",All Regions,,,,K Friedman,7,
176,2014-06-05 18:29:28.641000+08:00,,100000,1,2014-06-05 18:29:28.641000+08:00,2018-10-15 13:52:03.893616+08:00,25,0,completed,2012,14,1000,<p>WAMMP Sub-project 2: Historical time-series development</p>,,<p>Time and time again: a treasure trove of historical marine monitoring data</p>,<p>KF advises folded into SPP 2012-008 - PG</p>,2012-07-01,2014-06-30,9,1,89,,,"K Friedman, K Bancroft, C Simpson",All Regions,All DPaW Districts,All IMCRA Regions,All Regions,K Friedman,7,"<p>marine, monitoring, baseline, data, historical</p>"
