document_ptr_id,summary,outcome,collaborations,strategic,staff,budget,director_scd_comment,director_outputprogram_comment,background
257,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
390,"<p>This Science Project Plan will provide information to underpin the management of karri stands in the immature stage of development (25-120 years old). Immature stands regenerated following timber harvesting and bushfire comprise more than 50 000 ha and represent around one third of the area of karri forest managed by DEC. Significant areas of regenerated karri forest have been included in conservation reserves following changes in land tenure from State forest. Regenerated karri stands have important values for future timber production, biodiversity conservation and as a store of terrestrial carbon.</p>
<p>There are a number of well designed experiments established under previous SPPs 1993-106 and 1993_107 that investigate the dynamics of naturally regenerated and planted stands managed at a range of stand densities. These experiments span a range of site productivity and climatic gradients in the karri forest, and have been measured repeatedly over a period of several decades (McCaw and Rayner 1995), providing important information to support and improve management practices (CALM 1997, DEC in prep.). This project will draw on existing comprehensive data sets and re-focus the work on emerging issues likely to be of growing importance in the next decade. These issues include:</p>
<ul>
<li>climate change and declining groundwater levels<br />
interactions with current and emerging pests and pathogens (Robinson 2003, 2005; Robinson et al. 2004)</li>
<li>increased recognition of the role of forests in maintaining global carbon cycles</li>
<li>long-term ecological dynamics in silviculturally regenerated stands (McCaw 2006).</li>
</ul>","<p>Knowledge of stand dynamics and growth, water relations and forest health to underpin the development of management strategies for regenerated forests.<br />
Opportunity for adaptive management in response to climate variability and potential threats to forest health, particularly Armillaria root disease.  </p>",,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
258,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
259,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
260,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
261,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
262,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
263,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
264,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
265,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
266,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
267,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
268,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
2141,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DBCA)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
269,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
270,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
271,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
272,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
273,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
274,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
275,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
276,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
277,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
278,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
279,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
2212,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DBCA)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
1520,"<p>This project aims to build and develop a new database, <strong>BioSys</strong>, that&nbsp;provides a central repository for data generated through&nbsp;biological survey within the department.&nbsp;While there are many kinds of biological data, survey data comprises a large proportion of biological data collected by the department.</p>
<p><strong>BioSys</strong>&nbsp;will be implemented in a three-phased approach:</p>
<p>Year 1: Build database to support Kimberley Land Conservation Initiative (LCI) monitoring data<br />Year 2: Extend database to&nbsp;Kimberley Island survey data, commence development of offline data entry tool<br />Year 3: Complete&nbsp;offline data entry tool</p>","<p>BioSys will address many&nbsp;of the issues and risks outlined above. These include:</p>
<ul>
<li>Increased consistency in, and availability of, biological data</li>
<li>Data protected in perpetuity</li>
<li>Improved security and backup for legacy and operational databases</li>
<li>Improved integration with other departmental systems</li>
<li>Improved capacity for reporting, research and analysis of observation data.</li>
<li>Improved compliance with government&nbsp;requirements for knowledge management</li>
<li>Improved credibility of the department in protecting and making data available</li>
</ul>
<p>In the longer term BioSys is expected to take over all or&nbsp;part of the role of NatureMap, built on modern, supported architecture.</p>","<p>The IT sections of organisations typically hold&nbsp;systems such as BioSys at arms length, restricting themselves to the core functions of file, mail, print. In recognition of Parks and Wildlife as&nbsp;a data-rich department, and in response to government public service requirements, the Office of Information Management (OIM) established the Knowledge Management Initiative (KMI) in 2015, with the aim of&nbsp;improving knowledge management across the agency. Because of its strategic importance and benefit to the organisation, OIM has been collaborating with&nbsp;SCD to develop BioSys, and providing in-kind support and assistance. This is expected to continue through the life of the project.</p>
<p>There has been interest from at least one other State conservation agency to co-fund the development of an offline data entry tool.</p>","<p>The requirement for managing and retaining biodiversity data and information, and the current capability gaps within WA, have been highlighted in a number of strategic documents, including:</p>
<ul>
<li>A&nbsp;survey database was identified as a high priority item within the Science Division Strategic Plan, 2008-17 (Science Division, 2008).</li>
<li>The need for a corporate survey database had been highlighted in&nbsp;a number of high-profile reviews, including a&nbsp;vegetation mapping workshop held in 2008 (Salt <em>et al.</em>, 2008).</li>
<li>The Barnett report&nbsp;into a Western Australian Biodiversity Knowledge System identified ""...efficient and effective access to historical information"" as the most important industry need (Australian Venture Consultants, 2012).</li>
<li>That same report included information managment as one of four essential pillars in a pathway to enhance knowledge management, which has since been reflected in the establishment of the WA Biodiversity Science Institute and the Informatics node.</li>
</ul>
<p><strong>References</strong></p>
<p>Australian Venture Consultants (2012) Pathway to an Enhanced Western Australian Terrestrial Biodiversity Knowledge System, August, 2012, Perth, WA.</p>
<p>Salt, C., Burrows, N., Coates, D. &amp; van&nbsp;Leeuwen, S. (2008) Vegetation information management system: the need for a new vegetation map of WA: Vegetation Mapping Workshop. Department of Environment and Conservation, 23-24 July 2008, Woodvale, WA.</p>
<p>Science&nbsp;Division (2008) A Strategic Plan for BIodiversity Conservation Research 2008-2017. Department of Environment and Conservation, Perth, WA.</p>","[[""Role"",""Year 1"",""Year 2"",""Year 3""],[""Scientist"",""0.4"",""0.4"",""0.4""],[""Technical"","""","""",""""],[""Volunteer"","""","""",""""],[""Collaborator"","""","""",""""]]","[[""Source"",""Year 1"",""Year 2"",""Year 3""],[""Consolidated Funds (DPaW)"",""70K"",""70K"",""70K""],[""External Funding"","""","""",""80K""]]",,,"<p>One of the department&rsquo;s main corporate goals is to conserve biodiversity. A key strategy for achieving this is acquiring scientific knowledge to underpin decision-making. The department therefore invests heavily in ecological survey (from small area- inventory through to major regional surveys) and on-going monitoring projects from which data are&nbsp;collected through field observation and analysed to produce new information. Because of the size of Western Australia, and the inaccessibility of many locations, data collection is typically the most expensive component of producing new information and understanding, and the datasets are often irreplaceable.</p>
<p>However, the majority of datasets collected through survey are not lodged in a corporately accessible and managed environment. While the department maintains some&nbsp;corporate scientific and management databases, these capture only a small proportion of data generated through survey, probably less than 25%. The remainder of datasets are managed on a per-project basis, satisfying individual project requirements, but invariably without due attention to on-going data maintenance and availability. To compound the issue, an increasing number of scientists and project officers responsible for historical datasets are close to retirement age. The department therefore faces an increasing and significant risk of loss of data.</p>
<p>Compounding the situation,&nbsp;data are stored in various ways ranging from spreadsheets to Microsoft Access, on desktops, laptops, or local file servers. As such, security and data protection&nbsp;are dependent on the data custodian, resulting in inconsistent practices and increased likelihood of data loss or corruption. In addition, data access is typically limited to local users, or restricted by vendor-specific applications. Departmental requirements for linking to related systems&nbsp;are&nbsp;generally not considered. And, finally, while survey methodologies are well understood, inadequate attention is paid&nbsp;to data collection and management standards (particularly ecological data, which still has developing standards), and therefore inconsistency and lack of documentation in how data attributes are defined.</p>"
3560,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DBCA)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
460,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
461,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
1530,"<p>Hydrology is a primary driver of wetland and riverine ecosystems and aquatic species distributions, acting directly on spatial and temporal variation in water volumes or through influences on water chemistry or habitat (e.g. acidification, salinisation, fire regimes, aquatic plants for fauna, temperature or woody debris from riparian zones). Most wetland conservation issues have a hydrological basis, requiring technical expertise to investigate the problem and advise on management. This project has been developed to bring short-term hydrological assessment studies under one umbrella project. Examples of current hydrological assessment projects include:</p>
<ul>
<li>Investigations identifying the major aquifers discharging groundwater and sustaining the Walyarta (Mandora Marsh) springs. This work will provide a basis on which to interpret the potential impacts of water resource development in the associated aquifers. (2015-2017). Funded by BHP via the Kimberley Region and undertaken in collaboration with researchers at The University of Western Australia.</li>
</ul>
<ul>
<li>Assessment of key hydrological management actions within the Brixton Street wetland complex. Funded by Perth Region NRM via&nbsp;a grant application prepared by the Swan Region.</li>
</ul>
<p>Proposals are also in development with&nbsp;the Rivers and Estuaries Division to map and understand nutrient fluxes into the Swan Estuary Marine Park and the Kimberley Region to identify and characterise different hydrological settings of the monsoon vine thicket TEC and develop effective monitoring programs.</p>
<p>Project objectives will vary but will generally involve identifying the critical hydrological parameter to manage that will improve conservation outcomes. To accomplish this a multi-disciplinary approach is employed to understand how these ecosystems vary in space and time, frequently involving collaborations with other researchers.&nbsp; Project outputs and outcomes are designed to provide more informed decision making with respect to prioritising conservation actions and assessing environmental impacts of land and water use proposals.</p>
<p>Combined. these projects fill an important role in reducing hydrological knowledge gaps, building an improved statewide understanding of the ecohydrology of threatened ecosystems and their critical hydrological parameters.</p>","<p>Improved ecosystem health and resilience through ability of conservation managers to understand local hydrological function and the critical parameters requiring management. This information will be used to 1) assess environmental impacts, 2) prioritise conservation actions, 3) set limits of acceptable change (LoAC) (e.g. in Ramsar wetlands) and 4) establish or re-evaluate baseline monitoring programs.</p>
<p>&nbsp;</p>","<p>Research will be designed and conducted in collaboration with Parks and Wildlife regional staff and scientists, in particular&nbsp;ecologists from the Species and Communities Branch. External links with&nbsp;research scientists&nbsp;from other state and commonwealth agencies, universities and CSIRO will be maintained and developed further. For example, the Mandora Marsh work is being undertaken in collaboration with Greg Skyzpek and Pauline Grierson at The University of Western Australia.</p>","<p>The overarching aims of this project align with Parks and Wildlife's Strategic Directions 2014-2017, focusing on management priorities, conducting best practice science to protect threatened and priority plant and animal species and delivering on-ground conservation outcomes. Projects will be designed to assist in the development of management plans and where plans exist will focus on addressing priorities and targets relevant to the hydrology.&nbsp; For Ramsar sites hydrology project planning will be undertaken to ensure project outcomes reduce existing knowledge gaps outlined in Ecological Character Descriptions (ECD) and deliver improved limits of acceptable change (LoAC) to guide management actions.</p>","[[""Role"",""Year 1 (2015-16"",""Year 2 (2016-17"",""Year 3 (2017-18)""],[""Scientist"",""0.2"",""0.6 to 1.0"",""0.6 to 1.0""],[""Technical"",""0.2"",""0.6 to 1.0"",""0.6 to 1.0""],[""Volunteer"","""","""",""""],[""Collaborator"","""","""",""""]]","[[""Source"",""Year 1"",""Year 2"",""Year 3""],[""Consolidated Funds (DPaW)"","""","""",""""],[""External Funding"",""60000"",""100000"",""""]]",,,
282,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
283,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
284,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
285,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
286,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
290,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
291,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
292,"<p>The quality of the night sky at the Bickley site of Perth Observatory for research work is diminishing due to the expansion of the city of Perth and the attendant increase in light pollution. Furthermore, there are tentative plans for a future Large Australian optical Telescope of aperture greater than the 4m currently existing in Australia. It is therefore prudent to evaluate sites around Western Australia in anticipation of funds forthcoming for a new research optical telescope facility. Furthermore, the internet alleviates the difficulties of the past associated with remote operation of such facilities.</p>",<p>Provision of direct and quantitative comparison of astronomical seeing parameters with other optical astronomy sites around Australia and elsewhere. This in turn will guide the planning of new optical telescope facilities within WA and in particular quantify the characteristics of the Bickley site of Perth Observatory</p>,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
293,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
395,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
396,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
2135,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
